cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Wbscr25,ENSMUSG00000054909,Downregulated,-3.255,3.255,1.99e-59,lncRNA,5,Williams Beuren syndrome chromosome region 25 (human)
AEC,Infection response,WSN vs mock,Npr3,ENSMUSG00000022206,Downregulated,-2.384,2.384,3.50e-59,protein_coding,15,natriuretic peptide receptor 3
AEC,Infection response,WSN vs mock,Ch25h,ENSMUSG00000050370,Upregulated,3.867,3.867,4.26e-59,protein_coding,19,cholesterol 25-hydroxylase
AEC,Infection response,WSN vs mock,Rec8,ENSMUSG00000002324,Downregulated,-2.856,2.856,5.05e-59,protein_coding,14,REC8 meiotic recombination protein
AEC,Infection response,WSN vs mock,Slfn2,ENSMUSG00000072620,Upregulated,6.371,6.371,7.53e-59,protein_coding,11,schlafen 2
AEC,Infection response,WSN vs mock,Tap2,ENSMUSG00000024339,Upregulated,2.245,2.245,5.45e-57,protein_coding,17,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
AEC,Infection response,WSN vs mock,Helz2,ENSMUSG00000027580,Upregulated,2.416,2.416,9.56e-57,protein_coding,2,"helicase with zinc finger 2, transcriptional coactivator"
AEC,Infection response,WSN vs mock,Mx1,ENSMUSG00000000386,Upregulated,8.918,8.918,1.19e-56,protein_coding,16,MX dynamin-like GTPase 1
AEC,Infection response,WSN vs mock,Herc6,ENSMUSG00000029798,Upregulated,4.395,4.395,2.51e-56,protein_coding,6,hect domain and RLD 6
AEC,Infection response,WSN vs mock,Hmga1,ENSMUSG00000046711,Upregulated,2.773,2.773,4.57e-56,protein_coding,17,high mobility group AT-hook 1
AEC,Infection response,WSN vs mock,Gm38316,ENSMUSG00000103730,Upregulated,2.77,2.77,9.22e-56,TEC,14,38316
AEC,Infection response,WSN vs mock,Cxcl1,ENSMUSG00000029380,Upregulated,6.069,6.069,2.45e-55,protein_coding,5,C-X-C motif chemokine ligand 1
AEC,Infection response,WSN vs mock,Apol9b,ENSMUSG00000068246,Upregulated,3.823,3.823,2.74e-55,protein_coding,15,apolipoprotein L 9b
AEC,Infection response,WSN vs mock,Atp10a,ENSMUSG00000025324,Upregulated,3.703,3.703,3.03e-55,protein_coding,7,"ATPase, class V, type 10A"
